probando con i=25
Construcción M-Tree (CCP): 668980099571 ns
1 (accesos, tiempo): (499, 3.14978e+09 ns)
2 (accesos, tiempo): (478, 1.73201e+07 ns)
3 (accesos, tiempo): (487, 7.5443e+06 ns)
4 (accesos, tiempo): (488, 2.87247e+07 ns)
5 (accesos, tiempo): (490, 2.78988e+07 ns)
6 (accesos, tiempo): (498, 2.8321e+07 ns)
7 (accesos, tiempo): (484, 1.92985e+07 ns)
8 (accesos, tiempo): (467, 1.61753e+07 ns)
9 (accesos, tiempo): (464, 1.93868e+07 ns)
10 (accesos, tiempo): (455, 2.82622e+07 ns)
11 (accesos, tiempo): (500, 2.13304e+07 ns)
12 (accesos, tiempo): (409, 1.41319e+07 ns)
13 (accesos, tiempo): (401, 5.27266e+06 ns)
14 (accesos, tiempo): (463, 2.20301e+07 ns)
15 (accesos, tiempo): (456, 1.53879e+07 ns)
16 (accesos, tiempo): (494, 3.07166e+07 ns)
17 (accesos, tiempo): (516, 8.09262e+06 ns)
18 (accesos, tiempo): (429, 1.78811e+07 ns)
19 (accesos, tiempo): (470, 1.95208e+07 ns)
20 (accesos, tiempo): (493, 2.38918e+07 ns)
21 (accesos, tiempo): (464, 3.02566e+07 ns)
22 (accesos, tiempo): (465, 2.26579e+07 ns)
23 (accesos, tiempo): (486, 1.64145e+07 ns)
24 (accesos, tiempo): (499, 1.8286e+07 ns)
25 (accesos, tiempo): (449, 2.50681e+07 ns)
26 (accesos, tiempo): (492, 1.87078e+07 ns)
27 (accesos, tiempo): (384, 1.61604e+07 ns)
28 (accesos, tiempo): (516, 2.63809e+07 ns)
29 (accesos, tiempo): (511, 1.87991e+07 ns)
30 (accesos, tiempo): (473, 1.48979e+07 ns)
31 (accesos, tiempo): (507, 1.92253e+07 ns)
32 (accesos, tiempo): (493, 1.55746e+07 ns)
33 (accesos, tiempo): (489, 2.40378e+07 ns)
34 (accesos, tiempo): (447, 1.6351e+07 ns)
35 (accesos, tiempo): (493, 1.65298e+07 ns)
36 (accesos, tiempo): (501, 1.68502e+07 ns)
37 (accesos, tiempo): (464, 1.43857e+07 ns)
38 (accesos, tiempo): (495, 9.32697e+06 ns)
39 (accesos, tiempo): (496, 1.38217e+07 ns)
40 (accesos, tiempo): (491, 2.004e+06 ns)
